Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious-Critical,Tot Cases per 1M pop
China,"80,880",36,"3,213",14,"67,819","9,848","3,226",56.2
Italy,"27,980","3,233","2,158",349,"2,749","23,073","1,851",462.8
Iran,"14,991","1,053",853,129,"4,590","9,548",,178.5
Spain,"9,428","1,440",335,41,530,"8,563",272,201.6
S. Korea,"8,236",74,75,,"1,137","7,024",59,160.6
Germany,"7,241","1,428",15,2,65,"7,161",2,86.4
France,"5,423",,127,,12,"5,284",400,83.1
USA,"4,180",500,73,5,73,"4,034",12,12.6
Switzerland,"2,353",136,19,5,4,"2,330",,271.9
UK,"1,543",152,36,1,20,"1,487",20,22.7
Netherlands,"1,413",278,24,4,2,"1,387",45,82.5
Norway,"1,322",66,3,,1,"1,318",27,243.9
Sweden,"1,119",79,7,4,1,"1,111",2,110.8
Belgium,"1,058",172,5,1,1,"1,052",33,91.3
Austria,"1,018",158,3,2,8,"1,007",12,113
Denmark,914,50,4,2,1,909,10,157.8
Japan,895,56,27,3,144,724,41,7.1
Diamond Princess,696,,7,,456,233,15,
Malaysia,566,138,,,42,524,9,17.5
Qatar,439,38,,,4,435,,152.4
Canada,376,35,4,3,11,361,1,10
Australia,375,75,5,,27,343,1,14.7
Greece,352,21,4,,8,340,5,33.8
Czechia,344,51,,,3,341,2,32.1
Portugal,331,86,1,1,3,327,18,32.5
Finland,278,34,,,10,268,1,50.2
Israel,277,64,,,4,273,4,32
Slovenia,253,34,1,,,252,3,121.7
Singapore,243,17,,,109,134,11,41.5
Bahrain,227,13,1,1,77,149,1,133.4
Estonia,205,34,,,1,204,,154.5
Brazil,203,3,,,2,201,2,1
Iceland,192,12,,,,192,1,
Pakistan,179,126,1,1,2,176,,0.8
Ireland,170,,2,,5,163,6,34.4
Romania,168,29,,,9,159,2,8.7
Poland,156,31,3,,,153,3,4.1
Hong Kong,155,6,4,,81,70,4,20.7
Chile,155,80,,,,155,,8.1
Egypt,150,24,2,,32,116,,1.5
Thailand,147,33,1,,35,111,1,2.1
Philippines,142,2,12,,5,125,1,1.3
Indonesia,134,17,5,,8,121,,0.5
India,129,15,2,,13,114,,0.1
Iraq,124,,10,,26,88,,3.1
Kuwait,123,11,,,9,114,4,28.8
Saudi Arabia,118,,,,6,112,,3.4
San Marino,109,,7,,4,98,11,
Lebanon,109,,3,,1,105,3,16
UAE,98,,,,23,75,2,9.9
Russia,93,30,,,8,85,,0.6
Peru,86,15,,,1,85,8,2.6
Luxembourg,81,4,1,,,80,10,
Slovakia,72,11,,,,72,,13.2
Taiwan,67,8,1,,20,46,,2.8
South Africa,64,3,,,,64,,1.1
Bulgaria,62,11,2,,,60,,8.9
Vietnam,61,4,,,16,45,,0.6
Algeria,60,6,4,,10,46,,1.4
Ecuador,58,21,2,,,56,2,3.3
Croatia,57,8,,,3,54,,13.9
Serbia,57,9,,,1,56,2,6.5
Argentina,56,,2,,3,51,1,1.2
Panama,55,,1,,,54,,12.7
Brunei,54,4,,,,54,1,
Colombia,54,20,,,1,53,,1.1
Mexico,53,10,,,4,49,1,0.4
Albania,51,9,1,,,50,2,17.7
Hungary,39,7,1,,1,37,,4
Palestine,39,1,,,,39,,7.6
Belarus,36,9,,,3,33,,3.8
Costa Rica,35,,,,,35,3,6.9
Latvia,34,4,,,1,33,,18
Georgia,33,,,,1,32,1,8.3
Cyprus,33,,,,,33,1,27.3
Armenia,30,2,,,1,29,2,10.1
Malta,30,9,,,2,28,,
Morocco,29,1,1,,1,27,1,0.8
